step, error
0, 0.485258
1, 0.456097
2, 0.418616
3, 0.401051
4, 0.462504
5, 0.372229
6, 0.386887
7, 0.354086
8, 0.318332
9, 0.276197
10, 0.256362
11, 0.234738
12, 0.206199
13, 0.162306
14, 0.116289
15, 0.110316
16, 0.0979018
17, 0.0753395
18, 0.0693539
19, 0.0642334
20, 0.0582189
21, 0.0666472
22, 0.0690567
23, 0.0759697
24, 0.0737094
25, 0.0713003
26, 0.0767779
27, 0.0745461
28, 0.0743895
29, 0.0848013
30, 0.0871416
31, 0.0833334
32, 0.066429
33, 0.0712673
34, 0.0676228
35, 0.0652147
36, 0.0660896
37, 0.0646737
38, 0.0588371
39, 0.0688701
40, 0.0605658
41, 0.062766
42, 0.0596069
43, 0.0649484
44, 0.0665408
45, 0.0655486
46, 0.0643864
47, 0.0633361
48, 0.0596157
49, 0.0627182
50, 0.0573357
51, 0.0653255
52, 0.0619606
53, 0.0624492
54, 0.062385
55, 0.0609322
56, 0.0666165
57, 0.0587028
58, 0.0564861
59, 0.0638181
60, 0.0628719
61, 0.0584905
62, 0.0571127
63, 0.0669279
64, 0.0591172
65, 0.0625632
66, 0.0592661
67, 0.0605065
68, 0.0604205
69, 0.0581711
70, 0.0573281
71, 0.0563547
72, 0.058433
73, 0.0606796
74, 0.0611264
75, 0.0604942
76, 0.0623206
77, 0.06292
78, 0.0576562
79, 0.0583225
80, 0.0593582
81, 0.0602492
82, 0.0617089
83, 0.0564157
84, 0.0629874
85, 0.0644699
86, 0.0568196
87, 0.0536105
88, 0.0588624
89, 0.0592042
90, 0.0583194
91, 0.0591756
92, 0.0604847
93, 0.0559698
94, 0.0643175
95, 0.0626564
96, 0.0614712
97, 0.0561861
98, 0.052108
99, 0.0595456
100, 0.0589149
101, 0.0532979
102, 0.0589152
103, 0.0577902
104, 0.0576219
105, 0.0564597
106, 0.0578163
107, 0.0605014
108, 0.0657424
109, 0.0635775
110, 0.0597682
111, 0.0566958
112, 0.0520505
113, 0.0567453
114, 0.0586698
115, 0.0607856
116, 0.0586903
117, 0.0592846
118, 0.0566498
119, 0.0567603
120, 0.0559351
121, 0.0613711
122, 0.0565338
123, 0.0635064
124, 0.0636321
125, 0.0622039
126, 0.0534723
127, 0.0606116
128, 0.0613558
129, 0.0579623
130, 0.0639895
131, 0.0616508
132, 0.0555673
133, 0.065312
134, 0.0580172
135, 0.0595697
136, 0.0562809
137, 0.0586866
138, 0.0555682
139, 0.0563364
140, 0.0625666
141, 0.0578615
142, 0.0594302
143, 0.05721
144, 0.0558301
145, 0.0638314
146, 0.0621628
147, 0.0626414
148, 0.0602382
149, 0.0577341
150, 0.0603674
151, 0.0636223
152, 0.0651894
153, 0.0602273
154, 0.0565189
155, 0.054153
156, 0.0552878
157, 0.0668379
158, 0.056386
159, 0.0562814
160, 0.0528024
161, 0.0576583
162, 0.0562486
163, 0.0582382
164, 0.0554717
165, 0.0604561
166, 0.0582664
167, 0.0568067
168, 0.0598052
169, 0.0539283
170, 0.0581647
171, 0.0601885
172, 0.0595652
173, 0.0635524
174, 0.0607016
175, 0.0560588
176, 0.0599503
177, 0.054009
178, 0.0571002
179, 0.0657173
180, 0.0609878
181, 0.0598862
182, 0.0596188
183, 0.0580036
184, 0.0540085
185, 0.0546408
186, 0.0616198
187, 0.059634
188, 0.058934
189, 0.0588944
190, 0.0581283
191, 0.0595717
192, 0.0589667
193, 0.0614917
194, 0.0585499
195, 0.0528142
196, 0.0609409
197, 0.0588195
198, 0.0538284
199, 0.0551311
200, 0.0683513
201, 0.0611172
202, 0.0554678
203, 0.0589267
204, 0.0628582
205, 0.0637164
206, 0.0541712
207, 0.0695074
208, 0.0583479
209, 0.0596445
210, 0.0553169
211, 0.0634811
212, 0.0548461
213, 0.0561563
214, 0.0661236
215, 0.0627539
216, 0.0580335
217, 0.0585678
218, 0.0591491
219, 0.0536453
220, 0.0610537
221, 0.063371
222, 0.0574942
223, 0.0586553
224, 0.0555447
225, 0.0511726
226, 0.058968
227, 0.0620961
228, 0.0593403
229, 0.0609348
230, 0.057958
231, 0.0585453
232, 0.0577485
233, 0.061165
234, 0.0576611
235, 0.0607182
236, 0.0569561
237, 0.0552558
238, 0.0575255
239, 0.0635644
240, 0.0602915
241, 0.0577483
242, 0.056005
243, 0.0612257
244, 0.0585382
245, 0.0544709
246, 0.0541632
247, 0.0555605
248, 0.0597292
249, 0.0538549
250, 0.0581389
251, 0.0556051
252, 0.0615821
253, 0.0600963
254, 0.0530257
255, 0.0567994
256, 0.0504576
257, 0.0575705
258, 0.0633305
259, 0.0593273
260, 0.0575571
261, 0.0558675
262, 0.0563577
263, 0.0549387
264, 0.0590786
265, 0.0530626
266, 0.0541403
267, 0.0547435
268, 0.0553048
269, 0.0547339
270, 0.0650942
271, 0.0524884
272, 0.0561609
273, 0.0590807
274, 0.0575402
275, 0.0551478
276, 0.0611331
277, 0.0569704
278, 0.053005
279, 0.0582721
280, 0.054106
281, 0.0560432
282, 0.0547814
283, 0.0600188
284, 0.048081
285, 0.0609717
286, 0.0548482
287, 0.0520252
288, 0.0554781
289, 0.052017
290, 0.0628834
291, 0.0502026
292, 0.0622066
293, 0.057204
