step, error
0, 1.49205
1, 1.55659
2, 1.52009
3, 1.44751
4, 1.48928
5, 1.48017
6, 1.45913
7, 1.4682
8, 1.43803
9, 1.41868
10, 1.41799
11, 1.53243
12, 1.50555
13, 1.39264
14, 1.36267
15, 1.46809
16, 1.49547
17, 1.38272
18, 1.35247
19, 1.42392
20, 1.35768
21, 1.36714
22, 1.49809
23, 1.41967
24, 1.44062
25, 1.32553
26, 1.38635
27, 1.35686
28, 1.36172
29, 1.37642
30, 1.36368
31, 1.35149
32, 1.37165
33, 1.3265
34, 1.36377
35, 1.32855
36, 1.43622
37, 1.28305
38, 1.40752
39, 1.3454
40, 1.38099
41, 1.36841
42, 1.36209
43, 1.35105
44, 1.2965
45, 1.32849
46, 1.37897
47, 1.24157
48, 1.25317
49, 1.25674
50, 1.30248
51, 1.23509
52, 1.30965
53, 1.28285
54, 1.3309
55, 1.25624
56, 1.29974
57, 1.22397
58, 1.27807
59, 1.29061
60, 1.28581
61, 1.22928
62, 1.28284
63, 1.20447
64, 1.21696
65, 1.19469
66, 1.13088
67, 1.16202
68, 1.25956
69, 1.26305
70, 1.20196
71, 1.17513
72, 1.15347
73, 1.12765
74, 1.18373
75, 1.25015
76, 1.18224
77, 1.10094
78, 1.13105
79, 1.13744
80, 1.14163
81, 1.15702
82, 1.18806
83, 1.22172
84, 1.1787
85, 1.1532
86, 1.15934
87, 1.21511
88, 1.125
89, 1.10317
90, 1.12727
91, 1.19465
92, 1.17743
93, 1.09056
94, 1.14053
95, 1.09663
96, 1.06869
97, 1.09952
98, 1.11586
99, 1.08292
100, 1.09908
101, 1.13942
102, 1.05933
103, 1.08679
104, 1.10727
105, 1.07097
106, 1.08806
107, 1.156
108, 1.01535
109, 1.05907
110, 1.08475
111, 1.06252
112, 1.05633
113, 1.05574
114, 1.05242
115, 0.961433
116, 1.04867
117, 1.01294
118, 1.0294
119, 1.02967
120, 0.931514
121, 0.985398
122, 1.00972
123, 0.974696
124, 1.01954
125, 1.00265
126, 0.943008
127, 0.952471
128, 0.995024
129, 0.868995
130, 0.949291
131, 0.957528
132, 0.926614
133, 0.988147
134, 0.953666
135, 1.05766
136, 0.966054
137, 1.00021
138, 1.03021
139, 0.959224
140, 0.96349
141, 0.963423
142, 0.972055
143, 0.972432
144, 1.00198
145, 0.950996
146, 0.993008
147, 1.01878
148, 0.942323
149, 0.931866
150, 0.910401
151, 0.90123
152, 0.955752
153, 0.937058
154, 0.926501
155, 0.9022
156, 0.888651
157, 0.923764
158, 0.890786
159, 0.895928
160, 0.855942
161, 0.914686
162, 0.951982
163, 0.93146
164, 0.867893
165, 0.901889
166, 0.781974
167, 0.873683
168, 0.922302
169, 0.919669
170, 0.889745
171, 0.86226
172, 0.874366
173, 0.893038
174, 0.860492
175, 0.900214
176, 0.864746
177, 0.848487
178, 0.828236
179, 0.805128
180, 0.872515
181, 0.857686
182, 0.897522
183, 0.836153
184, 0.847326
185, 0.849855
186, 0.85836
187, 0.852776
188, 0.828131
189, 0.851061
190, 0.881469
191, 0.853681
192, 0.848853
193, 0.807584
194, 0.757715
195, 0.808831
196, 0.794948
197, 0.804246
198, 0.762425
199, 0.826525
200, 0.759164
201, 0.820743
202, 0.790245
203, 0.819826
204, 0.820915
205, 0.816608
206, 0.81974
207, 0.86029
208, 0.797574
209, 0.809988
210, 0.787834
211, 0.765407
212, 0.81464
213, 0.83813
214, 0.780191
215, 0.791789
216, 0.708995
217, 0.814017
218, 0.778799
219, 0.757276
220, 0.757686
221, 0.779646
222, 0.741864
223, 0.806131
224, 0.721694
225, 0.785246
226, 0.740541
227, 0.814999
228, 0.846794
229, 0.762128
230, 0.772632
231, 0.735766
232, 0.737046
233, 0.726272
234, 0.75633
235, 0.756416
236, 0.734374
237, 0.740364
238, 0.756563
239, 0.783866
240, 0.719471
241, 0.730604
242, 0.797015
243, 0.737555
244, 0.739238
245, 0.697176
246, 0.738354
247, 0.709127
248, 0.684687
249, 0.705351
250, 0.780811
251, 0.731259
252, 0.769567
253, 0.725359
254, 0.701574
255, 0.738134
256, 0.7552
257, 0.730681
258, 0.742068
259, 0.680507
260, 0.648712
261, 0.706518
262, 0.698545
263, 0.732272
264, 0.731948
265, 0.644529
266, 0.716718
267, 0.745164
268, 0.679739
269, 0.671079
270, 0.694141
271, 0.751477
272, 0.717922
273, 0.691689
274, 0.675343
275, 0.688188
276, 0.639682
277, 0.683873
278, 0.657075
279, 0.698679
280, 0.641239
281, 0.688459
282, 0.638738
283, 0.639643
284, 0.707382
285, 0.642199
286, 0.694023
287, 0.656835
288, 0.704667
289, 0.645309
290, 0.679835
291, 0.654823
292, 0.646839
293, 0.708587
294, 0.703024
295, 0.69966
296, 0.618597
297, 0.68443
