step, accuracy
0, 0.22143952548503876
1, 0.2044738531112671
2, 0.218739852309227
3, 0.21144022047519684
4, 0.21237801015377045
5, 0.2046520709991455
6, 0.21530994772911072
7, 0.1904328614473343
8, 0.2109287530183792
9, 0.2061537206172943
10, 0.2086101472377777
11, 0.2029489278793335
12, 0.20204417407512665
13, 0.20793859660625458
14, 0.21393679082393646
15, 0.19726967811584473
16, 0.2010260671377182
17, 0.19931809604167938
18, 0.18576106429100037
19, 0.18383222818374634
20, 0.19262951612472534
21, 0.19834484159946442
22, 0.19654971361160278
23, 0.18871715664863586
24, 0.19808538258075714
25, 0.1989164799451828
26, 0.18595439195632935
27, 0.19112662971019745
28, 0.1733171045780182
29, 0.16860389709472656
30, 0.18472489714622498
31, 0.17174431681632996
32, 0.18832512199878693
33, 0.1956530660390854
34, 0.178262397646904
35, 0.1830184906721115
36, 0.16617216169834137
37, 0.1689770370721817
38, 0.16812117397785187
39, 0.15895739197731018
40, 0.18038424849510193
41, 0.1631677895784378
42, 0.15808869898319244
43, 0.1650407910346985
44, 0.15998892486095428
45, 0.18217509984970093
46, 0.1634279489517212
47, 0.17764830589294434
48, 0.152983620762825
49, 0.1540902554988861
50, 0.1698324829339981
51, 0.16443374752998352
52, 0.16291135549545288
53, 0.15189483761787415
54, 0.16291123628616333
55, 0.18071268498897552
56, 0.16447730362415314
57, 0.15588465332984924
58, 0.15079008042812347
59, 0.15989793837070465
60, 0.1573256105184555
61, 0.15947763621807098
62, 0.15397895872592926
63, 0.14525958895683289
64, 0.1417396515607834
65, 0.14552822709083557
66, 0.14397861063480377
67, 0.15112634003162384
68, 0.15249036252498627
69, 0.15872378647327423
70, 0.135486900806427
71, 0.13295987248420715
72, 0.14360663294792175
73, 0.13710379600524902
74, 0.14168672263622284
75, 0.14598941802978516
76, 0.13736434280872345
77, 0.15319789946079254
78, 0.1346152126789093
79, 0.13284705579280853
80, 0.13911809027194977
81, 0.12745553255081177
82, 0.13411305844783783
83, 0.11459456384181976
84, 0.14449335634708405
85, 0.12660428881645203
86, 0.13259339332580566
87, 0.14174959063529968
88, 0.13166531920433044
89, 0.12419833242893219
90, 0.13104701042175293
91, 0.13358356058597565
92, 0.11707598716020584
93, 0.12820293009281158
94, 0.12358461320400238
95, 0.13734479248523712
96, 0.13748908042907715
97, 0.1247318685054779
98, 0.12978023290634155
99, 0.12539249658584595
100, 0.10962244868278503
101, 0.11447253823280334
102, 0.11566968262195587
103, 0.11789128184318542
104, 0.12569142878055573
105, 0.12898892164230347
106, 0.12692829966545105
107, 0.11754277348518372
108, 0.11431524157524109
109, 0.11012092232704163
110, 0.10787811130285263
111, 0.11802828311920166
112, 0.12415645271539688
113, 0.11849501729011536
114, 0.12943728268146515
115, 0.1173354759812355
