step, error
0, 0.934067
1, 0.205224
2, 0.209069
3, 0.0969124
4, 0.0742171
5, 0.0999942
6, 0.0794822
7, 0.158179
8, 0.105415
9, 0.174146
10, 0.0723111
11, 0.0964413
12, 0.079591
13, 0.142786
14, 0.0654476
15, 0.0669599
16, 0.0683241
17, 0.0674703
18, 0.0790607
19, 0.059276
20, 0.096597
21, 0.0785554
22, 0.0944284
23, 0.112306
24, 0.0762453
25, 0.0570002
26, 0.0879281
27, 0.0942542
28, 0.0737639
29, 0.0719158
30, 0.0718358
31, 0.0647887
32, 0.0888172
33, 0.0596516
34, 0.0739729
35, 0.0489761
36, 0.0671965
37, 0.0753971
38, 0.0638333
39, 0.0775827
40, 0.0571603
41, 0.129428
42, 0.154787
43, 0.0624804
44, 0.13464
45, 0.0593124
46, 0.059372
47, 0.0729023
48, 0.0968584
49, 0.0603182
50, 0.0588862
51, 0.107931
52, 0.109786
53, 0.0573468
54, 0.06851
55, 0.0466372
56, 0.0961372
57, 0.0947667
58, 0.0676421
59, 0.0837364
60, 0.0814984
61, 0.0574684
62, 0.0875057
63, 0.0576469
64, 0.0903311
65, 0.0546765
66, 0.06658
67, 0.0678294
68, 0.100247
69, 0.0449911
70, 0.121589
71, 0.0866544
72, 0.114938
73, 0.0733618
74, 0.0621759
75, 0.0687164
76, 0.0782482
77, 0.0920831
78, 0.101162
79, 0.0658869
80, 0.0550883
81, 0.102719
82, 0.0860837
83, 0.0825343
84, 0.0690343
85, 0.0596429
86, 0.0527559
87, 0.0670628
88, 0.0719664
89, 0.0734933
90, 0.0720972
91, 0.0634988
92, 0.0487147
93, 0.0898603
94, 0.0579606
95, 0.0705707
96, 0.0523029
97, 0.118296
