training step, loss
1,1.1813503503799438
2,0.9392243027687073
3,0.8034480810165405
4,0.7153638601303101
5,0.6496962904930115
6,0.5955550670623779
7,0.5478501915931702
8,0.5039792060852051
9,0.46267277002334595
10,0.42339545488357544
11,0.38601088523864746
12,0.35059815645217896
13,0.3173448443412781
14,0.28647568821907043
15,0.25820493698120117
16,0.23271077871322632
17,0.21011365950107574
18,0.19048011302947998
19,0.17380890250205994
20,0.16003026068210602
21,0.14901933073997498
22,0.14059382677078247
23,0.1345178633928299
24,0.13051682710647583
25,0.12828394770622253
26,0.12749356031417847
27,0.12780813872814178
28,0.12890049815177917
29,0.13045890629291534
30,0.1322064846754074
31,0.1339079588651657
32,0.13537658751010895
33,0.13647939264774323
34,0.13713324069976807
35,0.1373046636581421
36,0.13699845969676971
37,0.13625366985797882
38,0.13513493537902832
39,0.133719801902771
40,0.13209564983844757
41,0.13035185635089874
42,0.12856905162334442
43,0.12682269513607025
44,0.12517507374286652
45,0.12367146462202072
46,0.12234778702259064
47,0.12122029811143875
48,0.1202949807047844
49,0.11956336349248886
50,0.11900890618562698
51,0.11860763281583786
52,0.11833006143569946
53,0.11814453452825546
54,0.1180214062333107
55,0.11793079227209091
56,0.11784719675779343
57,0.11775105446577072
58,0.11762645840644836
59,0.11746165156364441
60,0.11725253611803055
61,0.11699817329645157
62,0.11670266091823578
63,0.1163700520992279
64,0.11601053923368454
65,0.11563201248645782
66,0.1152445524930954
67,0.11485660821199417
68,0.11447736620903015
69,0.1141112893819809
70,0.11376303434371948
71,0.11343636363744736
72,0.11313093453645706
73,0.11284710466861725
74,0.11258164048194885
75,0.11233243346214294
76,0.11209634691476822
77,0.11186907440423965
78,0.11164721846580505
79,0.11142797023057938
80,0.11120783537626266
81,0.11098647117614746
82,0.11076074093580246
83,0.11053115874528885
84,0.11029771715402603
85,0.11006060987710953
86,0.10982029139995575
87,0.10957928001880646
88,0.10933680087327957
89,0.10909653455018997
90,0.10885794460773468
91,0.10862178355455399
92,0.10838894546031952
93,0.10816071927547455
94,0.10793476551771164
95,0.1077132299542427
96,0.10749520361423492
97,0.10727981477975845
98,0.10706634819507599
99,0.10685553401708603
100,0.10664565861225128
101,0.10643646866083145
102,0.10622912645339966
103,0.10602083057165146
104,0.10581331700086594
105,0.10560651123523712
106,0.10540006309747696
107,0.10519378632307053
108,0.10498860478401184
109,0.10478466749191284
110,0.10458195209503174
111,0.10437958687543869
112,0.1041792780160904
113,0.10397981107234955
114,0.103782057762146
115,0.10358577966690063
116,0.10339027643203735
117,0.10319609194993973
118,0.10300406068563461
119,0.10281262546777725
120,0.10262144356966019
121,0.10243212431669235
122,0.10224368423223495
123,0.10205584764480591
124,0.10186974704265594
125,0.10168434679508209
126,0.10149950534105301
127,0.10131622850894928
128,0.10113348811864853
129,0.10095234215259552
130,0.10077175498008728
131,0.10059192031621933
132,0.10041304677724838
133,0.10023574531078339
134,0.10005877912044525
135,0.09988315403461456
136,0.09970863163471222
137,0.09953488409519196
138,0.09936191141605377
139,0.09919017553329468
140,0.09901872277259827
141,0.09884849190711975
142,0.09867899864912033
143,0.09851063787937164
144,0.09834327548742294
145,0.09817634522914886
146,0.09801035374403
147,0.09784495830535889
148,0.09768041223287582
149,0.0975172370672226
150,0.09735451638698578
151,0.09719257801771164
152,0.09703195095062256
153,0.0968715101480484
154,0.09671172499656677
155,0.09655273705720901
156,0.09639444947242737
157,0.09623701125383377
158,0.09608081728219986
159,0.09592493623495102
160,0.09576977044343948
161,0.09561565518379211
162,0.09546217322349548
163,0.09530902653932571
164,0.09515652060508728
165,0.09500488638877869
166,0.09485402703285217
167,0.0947033166885376
168,0.0945533886551857
169,0.09440426528453827
170,0.09425582736730576
171,0.09410770237445831
172,0.09396015107631683
173,0.09381332248449326
174,0.09366714209318161
175,0.0935211330652237
176,0.09337599575519562
