step, error
358, 0.0056663
359, 0.00564485
360, 0.00562161
361, 0.00559772
362, 0.00557511
363, 0.00555422
364, 0.00553505
365, 0.00551722
366, 0.00550026
367, 0.005484
368, 0.00546823
369, 0.0054535
370, 0.00543974
371, 0.00542894
372, 0.00542101
373, 0.00542177
374, 0.00543073
375, 0.00546653
376, 0.00552156
377, 0.00565521
378, 0.00579189
379, 0.00607864
380, 0.00610351
381, 0.00613677
382, 0.00566043
383, 0.00528976
384, 0.00520584
385, 0.00539801
386, 0.00558567
387, 0.00542105
388, 0.00519022
389, 0.00511465
390, 0.00522823
391, 0.00532501
392, 0.00520955
393, 0.00506598
394, 0.00504101
395, 0.00511269
396, 0.0051448
397, 0.00505612
398, 0.00496968
399, 0.00496365
400, 0.00500278
401, 0.00500927
402, 0.00494883
403, 0.00489023
404, 0.00487671
405, 0.00489373
406, 0.00489911
407, 0.00486578
408, 0.00482153
409, 0.00479349
410, 0.00478984
411, 0.00479396
412, 0.00478391
413, 0.00475918
414, 0.00472778
415, 0.00470452
416, 0.00469316
417, 0.00468813
418, 0.00468157
419, 0.00466723
420, 0.00464742
421, 0.00462482
422, 0.00460463
423, 0.00458869
424, 0.00457668
425, 0.00456669
426, 0.00455647
427, 0.00454507
428, 0.0045314
429, 0.0045166
430, 0.00450049
431, 0.00448438
432, 0.00446825
433, 0.00445267
434, 0.00443753
435, 0.00442288
436, 0.0044086
437, 0.00439462
438, 0.00438084
439, 0.0043672
440, 0.00435367
441, 0.00434021
442, 0.00432683
443, 0.00431351
444, 0.00430026
445, 0.0042871
446, 0.00427406
447, 0.00426125
448, 0.00424885
449, 0.00423733
450, 0.00422763
451, 0.0042222
452, 0.00422584
453, 0.00425314
454, 0.00432718
455, 0.00453812
456, 0.00493528
457, 0.0059427
458, 0.00654022
459, 0.00731681
460, 0.00502705
461, 0.00415629
462, 0.00519734
463, 0.00507469
464, 0.00421654
465, 0.00435001
466, 0.00475362
467, 0.00433921
468, 0.0041158
469, 0.00453763
470, 0.00434428
471, 0.00403846
472, 0.00438777
473, 0.0042955
474, 0.0039925
475, 0.0042772
476, 0.00423251
477, 0.00394656
478, 0.00418964
479, 0.00415985
480, 0.00390714
481, 0.0041089
482, 0.00409847
483, 0.00387187
484, 0.00403019
485, 0.00404187
486, 0.00383942
487, 0.00395364
488, 0.00398541
489, 0.00381048
490, 0.00387821
491, 0.0039298
492, 0.00378427
493, 0.00380849
494, 0.00387021
495, 0.00376102
496, 0.00374816
497, 0.00380541
498, 0.00373799
499, 0.0036988
500, 0.00374079
501, 0.00371212
502, 0.00366262
503, 0.00368042
504, 0.00367978
505, 0.00363735
506, 0.0036293
507, 0.00364029
508, 0.00361621
509, 0.00359103
510, 0.00359625
511, 0.00359064
512, 0.00356398
513, 0.00355425
514, 0.00355596
515, 0.00354058
516, 0.00352129
517, 0.0035166
518, 0.00351208
519, 0.00349627
520, 0.0034821
521, 0.00347714
522, 0.00346991
523, 0.00345542
524, 0.00344359
525, 0.00343744
526, 0.00342913
527, 0.00341643
528, 0.00340536
529, 0.00339806
530, 0.00338982
531, 0.00337848
532, 0.00336766
533, 0.00335941
534, 0.00335127
535, 0.00334118
536, 0.0033306
537, 0.00332154
538, 0.00331334
539, 0.00330422
540, 0.00329418
541, 0.0032846
542, 0.00327597
543, 0.0032674
544, 0.00325813
545, 0.00324856
546, 0.00323943
547, 0.00323081
548, 0.00322213
549, 0.00321306
550, 0.00320384
551, 0.00319488
552, 0.00318622
553, 0.0031776
554, 0.00316878
555, 0.00315984
556, 0.00315097
557, 0.0031423
558, 0.00313375
559, 0.00312516
560, 0.00311647
561, 0.00310775
562, 0.00309911
563, 0.00309057
564, 0.00308211
565, 0.00307364
566, 0.00306514
567, 0.00305663
568, 0.00304814
569, 0.00303971
570, 0.00303134
571, 0.003023
572, 0.00301467
573, 0.00300635
574, 0.00299802
575, 0.00298971
576, 0.00298143
577, 0.00297318
578, 0.00296497
579, 0.00295678
580, 0.00294862
581, 0.00294048
582, 0.00293236
583, 0.00292426
584, 0.00291619
585, 0.00290814
586, 0.00290012
587, 0.00289212
588, 0.00288415
589, 0.0028762
590, 0.00286828
591, 0.00286038
592, 0.00285251
593, 0.00284466
594, 0.00283683
595, 0.00282903
596, 0.00282126
597, 0.0028135
598, 0.00280578
599, 0.00279808
600, 0.00279042
601, 0.0027828
602, 0.00277524
603, 0.00276776
604, 0.00276041
605, 0.00275329
606, 0.00274658
607, 0.00274062
608, 0.00273619
609, 0.00273458
610, 0.00273927
611, 0.00275513
612, 0.00279873
613, 0.00288509
614, 0.00309219
615, 0.00340396
616, 0.00408752
617, 0.00440548
618, 0.00475672
619, 0.00353451
620, 0.00272085
621, 0.00292578
622, 0.00342704
623, 0.00334366
624, 0.00271714
625, 0.00286091
626, 0.00328439
627, 0.00288114
628, 0.0026377
629, 0.00293247
630, 0.0028855
631, 0.00263114
632, 0.00267954
633, 0.0027952
634, 0.00268803
635, 0.00257639
636, 0.00267661
637, 0.00271129
638, 0.00256964
639, 0.00256892
640, 0.00265548
641, 0.00259175
642, 0.00251933
643, 0.00255809
644, 0.00258175
645, 0.00252709
646, 0.00249112
647, 0.00252549
648, 0.00253164
649, 0.0024809
650, 0.0024676
651, 0.00249034
652, 0.00248239
653, 0.00245018
654, 0.00243954
655, 0.00245254
656, 0.00244769
657, 0.00242239
658, 0.00241277
659, 0.00241896
660, 0.00241519
661, 0.00239846
662, 0.00238624
663, 0.002387
664, 0.00238638
665, 0.00237455
666, 0.0023623
667, 0.00235791
668, 0.00235673
669, 0.00235096
670, 0.00234024
671, 0.00233191
672, 0.00232851
673, 0.00232514
674, 0.00231836
675, 0.00230964
676, 0.00230268
677, 0.00229846
678, 0.00229424
679, 0.00228798
680, 0.00228057
681, 0.00227394
682, 0.00226884
683, 0.00226427
684, 0.00225878
685, 0.00225228
686, 0.00224583
687, 0.00224012
688, 0.00223509
689, 0.00223004
690, 0.0022244
691, 0.00221836
692, 0.00221242
693, 0.00220687
694, 0.00220168
695, 0.00219652
696, 0.00219112
697, 0.00218549
698, 0.00217981
699, 0.00217426
