step, error
0, 0.304906
1, 0.295206
2, 0.280964
3, 0.262004
4, 0.236651
5, 0.221416
6, 0.188621
7, 0.239379
8, 0.155265
9, 0.160481
10, 0.172977
11, 0.175396
12, 0.164622
13, 0.17285
14, 0.153361
15, 0.120542
16, 0.148719
17, 0.131939
18, 0.127029
19, 0.130797
20, 0.141644
21, 0.136145
22, 0.148262
23, 0.100472
24, 0.0989089
25, 0.0872002
26, 0.112767
27, 0.10566
28, 0.11062
29, 0.111006
30, 0.107196
31, 0.104954
32, 0.122223
33, 0.0987013
34, 0.0944802
35, 0.1067
36, 0.124408
37, 0.103306
38, 0.102475
39, 0.0854562
40, 0.106855
41, 0.0792496
42, 0.0813647
43, 0.111888
44, 0.102061
45, 0.115213
46, 0.0972941
47, 0.120866
48, 0.0788636
49, 0.0906144
50, 0.0925203
51, 0.104134
52, 0.0927963
53, 0.112109
54, 0.100686
55, 0.105542
56, 0.0943106
57, 0.0939053
58, 0.0974284
59, 0.0841395
60, 0.0957632
61, 0.0904328
62, 0.121115
63, 0.102116
64, 0.100818
65, 0.0864115
66, 0.0928283
67, 0.0880894
68, 0.1009
69, 0.0992074
70, 0.0839532
71, 0.0886834
72, 0.102758
73, 0.0900994
74, 0.0940518
75, 0.0861757
76, 0.107399
77, 0.0807841
78, 0.0815312
79, 0.086052
80, 0.0791418
81, 0.105616
82, 0.077884
83, 0.100328
84, 0.0740788
85, 0.0963987
86, 0.0915597
87, 0.078204
88, 0.0876018
89, 0.101348
90, 0.0922072
91, 0.106983
92, 0.0971907
93, 0.0890647
94, 0.0874762
95, 0.0859621
96, 0.0956997
97, 0.0932925
98, 0.0899193
99, 0.0986925
100, 0.0984025
101, 0.0914415
102, 0.0924977
103, 0.101103
104, 0.102226
105, 0.0740496
106, 0.0870347
107, 0.0663694
108, 0.0921846
109, 0.0836276
110, 0.0891171
111, 0.0902187
112, 0.103498
113, 0.0831637
114, 0.0806004
115, 0.0929423
116, 0.0930458
117, 0.0932986
118, 0.0878369
119, 0.092526
120, 0.106548
121, 0.0876855
122, 0.0796473
123, 0.0790533
124, 0.0954534
125, 0.0742391
126, 0.0874118
127, 0.0840864
128, 0.0839326
129, 0.0759627
130, 0.0967666
131, 0.0864534
132, 0.088351
133, 0.0874586
134, 0.0779152
135, 0.0691291
136, 0.0873589
137, 0.0875129
138, 0.0937319
139, 0.0718387
140, 0.0809408
141, 0.0678486
142, 0.0823139
143, 0.0998204
144, 0.0761663
145, 0.0723743
146, 0.074468
147, 0.07521
148, 0.0673968
149, 0.0735177
150, 0.0864863
151, 0.0759521
