reference,ssim,mse,trial
821_orig.png,821_kriz_ssim_fc.png,821_kriz_mse_fc.png,9
827_orig.png,827_kriz_ssim_fc.png,827_kriz_mse_fc.png,9
876_orig.png,876_kriz_ssim_fc.png,876_kriz_mse_fc.png,9
880_orig.png,880_kriz_ssim_fc.png,880_kriz_mse_fc.png,9
887_orig.png,887_kriz_ssim_fc.png,887_kriz_mse_fc.png,9
888_orig.png,888_kriz_ssim_fc.png,888_kriz_mse_fc.png,9
906_orig.png,906_kriz_ssim_fc.png,906_kriz_mse_fc.png,9
909_orig.png,909_kriz_ssim_fc.png,909_kriz_mse_fc.png,10
913_orig.png,913_kriz_ssim_fc.png,913_kriz_mse_fc.png,10
933_orig.png,933_kriz_ssim_fc.png,933_kriz_mse_fc.png,10
968_orig.png,968_kriz_ssim_fc.png,968_kriz_mse_fc.png,10
982_orig.png,982_kriz_ssim_fc.png,982_kriz_mse_fc.png,10
1007_orig.png,1007_kriz_ssim_fc.png,1007_kriz_mse_fc.png,10
1018_orig.png,1018_kriz_ssim_fc.png,1018_kriz_mse_fc.png,10
1049_orig.png,1049_kriz_ssim_fc.png,1049_kriz_mse_fc.png,10
1053_orig.png,1053_kriz_ssim_fc.png,1053_kriz_mse_fc.png,10
1058_orig.png,1058_kriz_ssim_fc.png,1058_kriz_mse_fc.png,10
1065_orig.png,1065_kriz_ssim_fc.png,1065_kriz_mse_fc.png,11
1067_orig.png,1067_kriz_ssim_fc.png,1067_kriz_mse_fc.png,11
1068_orig.png,1068_kriz_ssim_fc.png,1068_kriz_mse_fc.png,11
1086_orig.png,1086_kriz_ssim_fc.png,1086_kriz_mse_fc.png,11
1088_orig.png,1088_kriz_ssim_fc.png,1088_kriz_mse_fc.png,11
1101_orig.png,1101_kriz_ssim_fc.png,1101_kriz_mse_fc.png,11
1104_orig.png,1104_kriz_ssim_fc.png,1104_kriz_mse_fc.png,11
1111_orig.png,1111_kriz_ssim_fc.png,1111_kriz_mse_fc.png,11
1116_orig.png,1116_kriz_ssim_fc.png,1116_kriz_mse_fc.png,11
1123_orig.png,1123_kriz_ssim_fc.png,1123_kriz_mse_fc.png,11
1124_orig.png,1124_kriz_ssim_fc.png,1124_kriz_mse_fc.png,12
1136_orig.png,1136_kriz_ssim_fc.png,1136_kriz_mse_fc.png,12
1144_orig.png,1144_kriz_ssim_fc.png,1144_kriz_mse_fc.png,12
1153_orig.png,1153_kriz_ssim_fc.png,1153_kriz_mse_fc.png,12
1165_orig.png,1165_kriz_ssim_fc.png,1165_kriz_mse_fc.png,12
1167_orig.png,1167_kriz_ssim_fc.png,1167_kriz_mse_fc.png,12
1168_orig.png,1168_kriz_ssim_fc.png,1168_kriz_mse_fc.png,12
1169_orig.png,1169_kriz_ssim_fc.png,1169_kriz_mse_fc.png,12
1173_orig.png,1173_kriz_ssim_fc.png,1173_kriz_mse_fc.png,12
1182_orig.png,1182_kriz_ssim_fc.png,1182_kriz_mse_fc.png,12
1190_orig.png,1190_kriz_ssim_fc.png,1190_kriz_mse_fc.png,13
1192_orig.png,1192_kriz_ssim_fc.png,1192_kriz_mse_fc.png,13
1199_orig.png,1199_kriz_ssim_fc.png,1199_kriz_mse_fc.png,13
1216_orig.png,1216_kriz_ssim_fc.png,1216_kriz_mse_fc.png,13
1217_orig.png,1217_kriz_ssim_fc.png,1217_kriz_mse_fc.png,13
1220_orig.png,1220_kriz_ssim_fc.png,1220_kriz_mse_fc.png,13
1225_orig.png,1225_kriz_ssim_fc.png,1225_kriz_mse_fc.png,13
1231_orig.png,1231_kriz_ssim_fc.png,1231_kriz_mse_fc.png,13
1237_orig.png,1237_kriz_ssim_fc.png,1237_kriz_mse_fc.png,13
1240_orig.png,1240_kriz_ssim_fc.png,1240_kriz_mse_fc.png,13
1247_orig.png,1247_kriz_ssim_fc.png,1247_kriz_mse_fc.png,14
1252_orig.png,1252_kriz_ssim_fc.png,1252_kriz_mse_fc.png,14
1262_orig.png,1262_kriz_ssim_fc.png,1262_kriz_mse_fc.png,14
1266_orig.png,1266_kriz_ssim_fc.png,1266_kriz_mse_fc.png,14
1272_orig.png,1272_kriz_ssim_fc.png,1272_kriz_mse_fc.png,14
1296_orig.png,1296_kriz_ssim_fc.png,1296_kriz_mse_fc.png,14
1297_orig.png,1297_kriz_ssim_fc.png,1297_kriz_mse_fc.png,14
1316_orig.png,1316_kriz_ssim_fc.png,1316_kriz_mse_fc.png,14
1317_orig.png,1317_kriz_ssim_fc.png,1317_kriz_mse_fc.png,14
1326_orig.png,1326_kriz_ssim_fc.png,1326_kriz_mse_fc.png,14
1332_orig.png,1332_kriz_ssim_fc.png,1332_kriz_mse_fc.png,15
1337_orig.png,1337_kriz_ssim_fc.png,1337_kriz_mse_fc.png,15
1342_orig.png,1342_kriz_ssim_fc.png,1342_kriz_mse_fc.png,15
1350_orig.png,1350_kriz_ssim_fc.png,1350_kriz_mse_fc.png,15
1378_orig.png,1378_kriz_ssim_fc.png,1378_kriz_mse_fc.png,15
1382_orig.png,1382_kriz_ssim_fc.png,1382_kriz_mse_fc.png,15
1383_orig.png,1383_kriz_ssim_fc.png,1383_kriz_mse_fc.png,15
1403_orig.png,1403_kriz_ssim_fc.png,1403_kriz_mse_fc.png,15
1404_orig.png,1404_kriz_ssim_fc.png,1404_kriz_mse_fc.png,15
1409_orig.png,1409_kriz_ssim_fc.png,1409_kriz_mse_fc.png,15
1410_orig.png,1410_kriz_ssim_fc.png,1410_kriz_mse_fc.png,16
1424_orig.png,1424_kriz_ssim_fc.png,1424_kriz_mse_fc.png,16
1425_orig.png,1425_kriz_ssim_fc.png,1425_kriz_mse_fc.png,16
1435_orig.png,1435_kriz_ssim_fc.png,1435_kriz_mse_fc.png,16
1449_orig.png,1449_kriz_ssim_fc.png,1449_kriz_mse_fc.png,16
1457_orig.png,1457_kriz_ssim_fc.png,1457_kriz_mse_fc.png,16
1486_orig.png,1486_kriz_ssim_fc.png,1486_kriz_mse_fc.png,16
1490_orig.png,1490_kriz_ssim_fc.png,1490_kriz_mse_fc.png,16
1497_orig.png,1497_kriz_ssim_fc.png,1497_kriz_mse_fc.png,16
1518_orig.png,1518_kriz_ssim_fc.png,1518_kriz_mse_fc.png,16
1520_orig.png,1520_kriz_ssim_fc.png,1520_kriz_mse_fc.png,17
1523_orig.png,1523_kriz_ssim_fc.png,1523_kriz_mse_fc.png,17
1524_orig.png,1524_kriz_ssim_fc.png,1524_kriz_mse_fc.png,17
1530_orig.png,1530_kriz_ssim_fc.png,1530_kriz_mse_fc.png,17
1532_orig.png,1532_kriz_ssim_fc.png,1532_kriz_mse_fc.png,17
1537_orig.png,1537_kriz_ssim_fc.png,1537_kriz_mse_fc.png,17
1539_orig.png,1539_kriz_ssim_fc.png,1539_kriz_mse_fc.png,17
1547_orig.png,1547_kriz_ssim_fc.png,1547_kriz_mse_fc.png,17
1549_orig.png,1549_kriz_ssim_fc.png,1549_kriz_mse_fc.png,17
1558_orig.png,1558_kriz_ssim_fc.png,1558_kriz_mse_fc.png,17
1562_orig.png,1562_kriz_ssim_fc.png,1562_kriz_mse_fc.png,18
1563_orig.png,1563_kriz_ssim_fc.png,1563_kriz_mse_fc.png,18
1570_orig.png,1570_kriz_ssim_fc.png,1570_kriz_mse_fc.png,18
1571_orig.png,1571_kriz_ssim_fc.png,1571_kriz_mse_fc.png,18
1580_orig.png,1580_kriz_ssim_fc.png,1580_kriz_mse_fc.png,18
1581_orig.png,1581_kriz_ssim_fc.png,1581_kriz_mse_fc.png,18
1590_orig.png,1590_kriz_ssim_fc.png,1590_kriz_mse_fc.png,18
1596_orig.png,1596_kriz_ssim_fc.png,1596_kriz_mse_fc.png,18
1606_orig.png,1606_kriz_ssim_fc.png,1606_kriz_mse_fc.png,18
1608_orig.png,1608_kriz_ssim_fc.png,1608_kriz_mse_fc.png,18
1612_orig.png,1612_kriz_ssim_fc.png,1612_kriz_mse_fc.png,19
1616_orig.png,1616_kriz_ssim_fc.png,1616_kriz_mse_fc.png,19
1622_orig.png,1622_kriz_ssim_fc.png,1622_kriz_mse_fc.png,19
1626_orig.png,1626_kriz_ssim_fc.png,1626_kriz_mse_fc.png,19
1640_orig.png,1640_kriz_ssim_fc.png,1640_kriz_mse_fc.png,19
1653_orig.png,1653_kriz_ssim_fc.png,1653_kriz_mse_fc.png,19
1654_orig.png,1654_kriz_ssim_fc.png,1654_kriz_mse_fc.png,19
1684_orig.png,1684_kriz_ssim_fc.png,1684_kriz_mse_fc.png,19
1688_orig.png,1688_kriz_ssim_fc.png,1688_kriz_mse_fc.png,19
1694_orig.png,1694_kriz_ssim_fc.png,1694_kriz_mse_fc.png,19
1701_orig.png,1701_kriz_ssim_fc.png,1701_kriz_mse_fc.png,20
1705_orig.png,1705_kriz_ssim_fc.png,1705_kriz_mse_fc.png,20
1706_orig.png,1706_kriz_ssim_fc.png,1706_kriz_mse_fc.png,20
1717_orig.png,1717_kriz_ssim_fc.png,1717_kriz_mse_fc.png,20
1735_orig.png,1735_kriz_ssim_fc.png,1735_kriz_mse_fc.png,20
1741_orig.png,1741_kriz_ssim_fc.png,1741_kriz_mse_fc.png,20
1749_orig.png,1749_kriz_ssim_fc.png,1749_kriz_mse_fc.png,20
1754_orig.png,1754_kriz_ssim_fc.png,1754_kriz_mse_fc.png,20
1765_orig.png,1765_kriz_ssim_fc.png,1765_kriz_mse_fc.png,20
1774_orig.png,1774_kriz_ssim_fc.png,1774_kriz_mse_fc.png,20
25_orig.png,25_kriz_ssim_fc.png,25_kriz_mse_fc.png,1
31_orig.png,31_kriz_ssim_fc.png,31_kriz_mse_fc.png,1
33_orig.png,33_kriz_ssim_fc.png,33_kriz_mse_fc.png,1
35_orig.png,35_kriz_ssim_fc.png,35_kriz_mse_fc.png,1
41_orig.png,41_kriz_ssim_fc.png,41_kriz_mse_fc.png,1
43_orig.png,43_kriz_ssim_fc.png,43_kriz_mse_fc.png,1
52_orig.png,52_kriz_ssim_fc.png,52_kriz_mse_fc.png,1
56_orig.png,56_kriz_ssim_fc.png,56_kriz_mse_fc.png,1
80_orig.png,80_kriz_ssim_fc.png,80_kriz_mse_fc.png,1
89_orig.png,89_kriz_ssim_fc.png,89_kriz_mse_fc.png,1
139_orig.png,139_kriz_ssim_fc.png,139_kriz_mse_fc.png,2
141_orig.png,141_kriz_ssim_fc.png,141_kriz_mse_fc.png,2
143_orig.png,143_kriz_ssim_fc.png,143_kriz_mse_fc.png,2
159_orig.png,159_kriz_ssim_fc.png,159_kriz_mse_fc.png,2
162_orig.png,162_kriz_ssim_fc.png,162_kriz_mse_fc.png,2
166_orig.png,166_kriz_ssim_fc.png,166_kriz_mse_fc.png,2
172_orig.png,172_kriz_ssim_fc.png,172_kriz_mse_fc.png,2
173_orig.png,173_kriz_ssim_fc.png,173_kriz_mse_fc.png,2
185_orig.png,185_kriz_ssim_fc.png,185_kriz_mse_fc.png,2
193_orig.png,193_kriz_ssim_fc.png,193_kriz_mse_fc.png,2
204_orig.png,204_kriz_ssim_fc.png,204_kriz_mse_fc.png,3
208_orig.png,208_kriz_ssim_fc.png,208_kriz_mse_fc.png,3
210_orig.png,210_kriz_ssim_fc.png,210_kriz_mse_fc.png,3
223_orig.png,223_kriz_ssim_fc.png,223_kriz_mse_fc.png,3
233_orig.png,233_kriz_ssim_fc.png,233_kriz_mse_fc.png,3
238_orig.png,238_kriz_ssim_fc.png,238_kriz_mse_fc.png,3
253_orig.png,253_kriz_ssim_fc.png,253_kriz_mse_fc.png,3
259_orig.png,259_kriz_ssim_fc.png,259_kriz_mse_fc.png,3
260_orig.png,260_kriz_ssim_fc.png,260_kriz_mse_fc.png,3
264_orig.png,264_kriz_ssim_fc.png,264_kriz_mse_fc.png,3
266_orig.png,266_kriz_ssim_fc.png,266_kriz_mse_fc.png,4
271_orig.png,271_kriz_ssim_fc.png,271_kriz_mse_fc.png,4
274_orig.png,274_kriz_ssim_fc.png,274_kriz_mse_fc.png,4
297_orig.png,297_kriz_ssim_fc.png,297_kriz_mse_fc.png,4
299_orig.png,299_kriz_ssim_fc.png,299_kriz_mse_fc.png,4
310_orig.png,310_kriz_ssim_fc.png,310_kriz_mse_fc.png,4
317_orig.png,317_kriz_ssim_fc.png,317_kriz_mse_fc.png,4
332_orig.png,332_kriz_ssim_fc.png,332_kriz_mse_fc.png,4
356_orig.png,356_kriz_ssim_fc.png,356_kriz_mse_fc.png,4
369_orig.png,369_kriz_ssim_fc.png,369_kriz_mse_fc.png,4
372_orig.png,372_kriz_ssim_fc.png,372_kriz_mse_fc.png,5
383_orig.png,383_kriz_ssim_fc.png,383_kriz_mse_fc.png,5
387_orig.png,387_kriz_ssim_fc.png,387_kriz_mse_fc.png,5
402_orig.png,402_kriz_ssim_fc.png,402_kriz_mse_fc.png,5
425_orig.png,425_kriz_ssim_fc.png,425_kriz_mse_fc.png,5
433_orig.png,433_kriz_ssim_fc.png,433_kriz_mse_fc.png,5
439_orig.png,439_kriz_ssim_fc.png,439_kriz_mse_fc.png,5
450_orig.png,450_kriz_ssim_fc.png,450_kriz_mse_fc.png,5
476_orig.png,476_kriz_ssim_fc.png,476_kriz_mse_fc.png,5
489_orig.png,489_kriz_ssim_fc.png,489_kriz_mse_fc.png,5
495_orig.png,495_kriz_ssim_fc.png,495_kriz_mse_fc.png,6
498_orig.png,498_kriz_ssim_fc.png,498_kriz_mse_fc.png,6
503_orig.png,503_kriz_ssim_fc.png,503_kriz_mse_fc.png,6
509_orig.png,509_kriz_ssim_fc.png,509_kriz_mse_fc.png,6
511_orig.png,511_kriz_ssim_fc.png,511_kriz_mse_fc.png,6
515_orig.png,515_kriz_ssim_fc.png,515_kriz_mse_fc.png,6
