(5, 10.0, 0.01),(0.053701423, 0.056747474)
(5, 10.0, 0.1),(0.057049345, 0.054380123)
(2, 0.1, 0.001),(3.4509612e-05, 0.00046373333)
(1, 0.1, 0.1),(0.058515087, 0.052435316)
(2, 0.1, 0.01),(3.6492274e-06, 0.00061229628)
(4, 1.0, 0.01),(0.056839447, 0.056843672)
(3, 1.0, 0.1),(0.051044684, 0.053950015)
(1, 0.01, 0.1),(0.063869484, 0.051329754)
(4, 1.0, 0.1),(0.055013981, 0.056870546)
(2, 1.0, 0.001),(0.017438548, 0.014547884)
(5, 0.01, 0.1),(0.054507714, 0.05688053)
(4, 0.1, 0.01),(0.054828338, 0.057489444)
(5, 0.01, 0.01),(0.056604378, 0.054123878)
(4, 0.1, 0.001),(1.8933736e-06, 0.061926574)
(5, 0.01, 0.001),(2.2276877e-08, 0.092781492)
(1, 1.0, 0.1),(0.044911452, 0.052705001)
(1, 1.0, 0.001),(9.5589407e-05, 6.8357636e-05)
(2, 1.0, 0.1),(0.058337193, 0.059182394)
(1, 1.0, 0.01),(5.3761499e-07, 7.0704205e-06)
(3, 0.1, 0.01),(0.055061594, 0.054890722)
(4, 0.1, 0.1),(0.056370955, 0.053581268)
(4, 1.0, 0.001),(0.051628575, 0.059169672)
(1, 0.01, 0.001),(2.3657938e-05, 0.00011781486)
(4, 10.0, 0.01),(0.055050578, 0.056751326)
(1, 0.1, 0.001),(4.0536277e-05, 6.7727917e-05)
(2, 1.0, 0.01),(0.057925876, 0.058614369)
(5, 1.0, 0.01),(0.055868279, 0.053568237)
(3, 0.01, 0.01),(0.028090166, 0.076074526)
(2, 0.01, 0.1),(0.053643923, 0.053094503)
(3, 10.0, 0.1),(0.056895681, 0.05132271)
(3, 1.0, 0.001),(0.044045836, 0.056365564)
(2, 0.01, 0.001),(7.343487e-07, 0.0050742794)
(2, 0.01, 0.01),(2.973146e-05, 0.0045129419)
(1, 10.0, 0.1),(0.066740468, 0.061469849)
(3, 0.1, 0.001),(4.2653093e-05, 0.00607028)
(1, 0.01, 0.01),(9.3117824e-06, 1.0218359e-05)
(5, 10.0, 0.001),(0.051505029, 0.056245543)
(1, 0.1, 0.01),(1.5317812e-06, 2.8161899e-06)
(2, 10.0, 0.001),(0.00025060488, 0.001462195)
(5, 1.0, 0.001),(0.054862641, 0.056718897)
(3, 0.01, 0.001),(3.9634624e-09, 0.041890625)
(4, 10.0, 0.001),(0.025852766, 0.065085359)
(3, 1.0, 0.01),(0.055341683, 0.056009609)
(5, 0.1, 0.01),(0.057025097, 0.05506181)
(5, 0.1, 0.001),(3.4009576e-05, 0.080768198)
(5, 0.1, 0.1),(0.49123624, 0.51225621)
(4, 0.01, 0.01),(0.036312938, 0.069948137)
(4, 0.01, 0.001),(8.4024077e-06, 0.074905366)
(4, 0.01, 0.1),(0.056861848, 0.057440128)
(3, 0.01, 0.1),(0.052544709, 0.055852033)
(2, 10.0, 0.01),(1.1751645e-05, 0.00026229289)
(4, 10.0, 0.1),(0.054894947, 0.056540385)
(2, 0.1, 0.1),(0.049409408, 0.052282952)
(3, 0.1, 0.1),(0.05543334, 0.057655249)
(1, 10.0, 0.001),(0.052995645, 0.055781871)
(5, 1.0, 0.1),(0.054722376, 0.053070404)
(1, 10.0, 0.01),(0.024233656, 0.050240718)
(2, 10.0, 0.1),(0.048896261, 0.051750831)
(3, 10.0, 0.01),(0.00027010054, 0.01000725)
(3, 10.0, 0.001),(0.048754416, 0.05406351)
