target, prediction
0.10974115653333671, 0.10948488116264343
0.6634117609947012, 0.6636138558387756
0.30672190425853674, 0.3068388104438782
0.31385838636809105, 0.31403854489326477
0.23581702663167903, 0.23600515723228455
0.9053546156004396, 0.905604362487793
0.3814120213726857, 0.3817140758037567
0.4280195757175881, 0.42823556065559387
0.9710435078777994, 0.9715740084648132
0.48086792880500717, 0.4811047613620758
0.4851580597944998, 0.4853333532810211
0.04923920117641034, 0.050039853900671005
0.1995531434911605, 0.19966340065002441
0.2037390093309418, 0.2039772868156433
0.4786900037383194, 0.47885021567344666
0.21541547872711186, 0.21545609831809998
0.39082103074601726, 0.3910019099712372
0.23595381241823266, 0.23610293865203857
0.1162652019312187, 0.11629974842071533
0.08492567544841967, 0.08499088883399963
0.6244559861050004, 0.6246932148933411
0.1661129782156603, 0.16652065515518188
0.03909382820523366, 0.03946531191468239
0.027643935952859633, 0.027963604778051376
0.10626496684567988, 0.10621652007102966
0.31911457737097126, 0.319273978471756
0.26943793422698503, 0.26968255639076233
0.015519648323719992, 0.01493414118885994
0.01884580672217062, 0.019105564802885056
0.04952004064567861, 0.04974638298153877
0.38423248691934886, 0.3844500482082367
0.5401934294934329, 0.5404635071754456
0.4726903268464391, 0.47291240096092224
0.4822137687083964, 0.4824748933315277
0.1547202785447479, 0.15484756231307983
0.31259831706640784, 0.3127354085445404
0.10790379452123544, 0.1079467236995697
0.07291165806397137, 0.0731387734413147
0.31786710636265625, 0.3180290460586548
0.26579570615309045, 0.2659115493297577
0.47469255246553754, 0.474924772977829
0.36367182782855056, 0.363895982503891
0.17128983424796618, 0.1715373694896698
0.08128729861755468, 0.0813882052898407
0.14311668850575132, 0.14327377080917358
0.2221751437372198, 0.22233888506889343
0.1829698509948664, 0.18332386016845703
0.45471926517014816, 0.45493003726005554
0.06482709556614075, 0.06485874950885773
0.17309837875621858, 0.17327569425106049
0.28575516610895835, 0.28586217761039734
0.3743971619738111, 0.37463995814323425
0.48240136897419494, 0.4825890362262726
0.1191820797508264, 0.1198861300945282
0.07689938050960932, 0.07681438326835632
0.37467825726334825, 0.3748195469379425
0.10871506497161043, 0.10873910784721375
0.2910290726934661, 0.29118502140045166
0.39905156838923006, 0.3992612957954407
0.15373745083860324, 0.15396788716316223
0.36423916503292775, 0.3644343316555023
0.010187614828530145, 0.010483872145414352
0.3838451529821808, 0.3840284049510956
0.25864441407204986, 0.25877514481544495
0.14400058977537378, 0.14414909482002258
0.007611541880888306, 0.007760647684335709
0.4330175483825902, 0.43321189284324646
0.6759946352110996, 0.6762514710426331
0.2906354605511968, 0.2908361554145813
0.22779689932627556, 0.2278342843055725
